자치구,평균온도,평균습도
Jungnang-gu,29.1,77
Jungnang-gu,29.6,73
Jungnang-gu,29.3,76
Jungnang-gu,27.3,85
Jungnang-gu,28.9,76
Jungnang-gu,28.9,76
Jung-gu,28.8,75
Jungnang-gu,27.4,82
Jung-gu,29.2,76
Jungnang-gu,25.4,100
Jungnang-gu,25.5,100
Jungnang-gu,27.8,82
Jungnang-gu,28,100
Jung-gu,28.8,75
Jungnang-gu,29.4,75
Jungnang-gu,27.3,86
Jungnang-gu,26.5,88
Jungnang-gu,27,100
Jungnang-gu,28.7,78
Jung-gu,28.7,73
Jung-gu,28.8,76
Jung-gu,29.7,74
Jung-gu,28.9,75
Jung-gu,29.1,73
Jung-gu,32.6,63
Jung-gu,29,75
Jung-gu,30.3,70
Jung-gu,29.3,71
Jung-gu,28.3,78
Jung-gu,29.4,73
Jung-gu,29,77
Jung-gu,32.4,64
Jung-gu,27.1,84
Jung-gu,29.4,76
Jung-gu,30,72
Jung-gu,29.1,75
Jung-gu,27.9,77
Jung-gu,28.7,100
Jung-gu,28.3,77
Jung-gu,28.8,72
Yangcheon-gu,26,100
Yangcheon-gu,29.1,100
Jung-gu,28.4,78
Jung-gu,27.6,79
Yangcheon-gu,28.9,100
Jung-gu,25.7,89
Yangcheon-gu,28.6,100
Yeongdeungpo-gu,29.1,73
Jung-gu,30.3,70
Yangcheon-gu,28.6,100
Yangcheon-gu,27.5,100
Yeongdeungpo-gu,29.7,69
Yeongdeungpo-gu,29.5,70
Yeongdeungpo-gu,29.8,69
Yeongdeungpo-gu,30.5,67
Yeongdeungpo-gu,29.1,73
Yeongdeungpo-gu,29.6,70
Yeongdeungpo-gu,29.1,71
Yeongdeungpo-gu,28.9,73
Yeongdeungpo-gu,28.7,76
Yeongdeungpo-gu,29.1,71
Yeongdeungpo-gu,30,70
Yeongdeungpo-gu,29.7,71
Yeongdeungpo-gu,29.7,71
Yeongdeungpo-gu,29.7,70
Yeongdeungpo-gu,29.6,70
Yeongdeungpo-gu,28.9,71
Dongjak-gu,28.1,100
Yeongdeungpo-gu,28.6,75
Yeongdeungpo-gu,30.9,63
Yeongdeungpo-gu,30.1,66
Yeongdeungpo-gu,28.3,75
Yeongdeungpo-gu,29.2,73
Yeongdeungpo-gu,29.9,67
Yeongdeungpo-gu,29.5,67
